account_id,nische,plattform,handle,url,markt_sprache,follower,follower_datenqualitaet,groessenklasse,posting_frequenz,typische_views,median_views,top_views,views_datenqualitaet,content_format,ai_real_mixed,link_in_bio,affiliate,amazon_storefront,ltk,shopmy,eigene_collections,andere_affiliate_systeme,affiliate_nachweis,case_study,quelle_url,pruefdatum,notizen,quelle_datei
C-H065,AI Home/Backyard Renovation,YouTube Shorts,@KouYangAI,https://www.youtube.com/channel/UCDVNMpstbu5ep5MX5bV7RWw,EN/US,72100,ESTIMATED,10k-100k,~3.5 Uploads/Woche (278 Shorts seit 2025-03-25; NexLev),Ø 553k/Short,622500,30 Mio. („Backyard Glow Up From Abandoned“),ESTIMATED (NexLev),AI-Before/After verlassener Häuser/Gärten (Adobe Firefly),AI,nur Facebook,nein,nein,nein,nein,nein,nein,keine Affiliate-Links,nein,https://www.youtube.com/channel/UCDVNMpstbu5ep5MX5bV7RWw ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Outlier-Score ~3 (NexLev).,quellen/raw_competitors_home.csv
C-H066,AI Architecture/Tiny House (DE),YouTube Shorts,@BauRausch,https://www.youtube.com/channel/UCLD6TIH_b6r4v-7NQoXOvhA,DE (teils EN-Titel),620000,ESTIMATED,500k-1M,~2.2 Uploads/Woche (53 Shorts seit 2026-04-13; NexLev),"Ø 7,3 Mio./Short",1200000,127 Mio. („DIY Floating Cabin … [Concept AI]“),ESTIMATED (NexLev),AI-Timelapse-Bauprojekte („Ich habe einen Schulbus vergraben … [KI-Konzept]“),AI (gekennzeichnet „KI-Konzept“),vukovic.ink,nein,nein,nein,nein,nein,nein,keine Affiliate-Links,nein,https://www.youtube.com/channel/UCLD6TIH_b6r4v-7NQoXOvhA ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Stärkster DE-AI-Beleg: 620k Abos in ~5 Monaten, aber keine Affiliate-Monetarisierung.",quellen/raw_competitors_home.csv
C-H067,3D Interior/Small Apartment Design,YouTube Shorts,@HomeGraphix,https://www.youtube.com/channel/UCnwUTlzK8F7JhTOzz9SiGHw,EN/US,1080000,ESTIMATED,1M+,~0.6 Uploads/Woche (48 Shorts seit 2025-02-21; NexLev),"Ø 6,6 Mio./Short",1077500,167 Mio. („Designing 3m² Apartment in New York!“),ESTIMATED (NexLev),3D-Raumplanung kleiner Apartments,3D-Render (kein AI laut NexLev),homedesignbook.com,nein,nein,nein,nein,ja (eigenes Interior-eBook),nein,Kanal-Link homedesignbook.com („beginner-friendly interior design guide … eBook“) → Info-Produkt,nein,https://www.youtube.com/channel/UCnwUTlzK8F7JhTOzz9SiGHw ; https://www.homedesignbook.com/ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Render-Möbel nicht kaufbar → eBook statt Affiliate.,quellen/raw_competitors_home.csv
C-H068,AI/3D Furniture & Smart Design,YouTube Shorts,@SmartDesign365,https://www.youtube.com/channel/UCH6gCuZOIzMNe5MdE5FU-ZA,EN/US,2130000,ESTIMATED,1M+,~3.1 Uploads/Woche (277 Shorts seit 2025-01-09; NexLev),"Ø 15,8 Mio./Short",28000000,911 Mio. („Multifunctional folding table design“),ESTIMATED (NexLev),Animierte Klapp-/Multifunktionsmöbel-Mechanik,mixed (Kanal: „I use AI technology to visualize … design concepts“; NexLev: 3D-Animation),"aiimagetovideo.pro, blender.org",nein,nein,nein,nein,nein,evtl. AI-Tool-Link,nur Tool-Links,nein,https://www.youtube.com/channel/UCH6gCuZOIzMNe5MdE5FU-ZA ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"4,37 Mrd. Views; NexLev-AdSense-Schätzung ~437k USD. Riesige Reichweite für Möbel-Konzepte ohne Kauflink = größte Ineffizienz im Sample.",quellen/raw_competitors_home.csv
C-H069,Garten/Outdoor Living (AI Backyard),YouTube Shorts,@JeremiahCarter-u3q5n,https://www.youtube.com/channel/UC-xr-4V6Hf-cU760L6V59FQ,EN/international,99900,ESTIMATED,10k-100k,~2.1 Uploads/Woche (109 Shorts seit 2025-09-19; NexLev),Ø 696k/Short,425000,19 Mio. (#BackyardMakeover),ESTIMATED (NexLev),"AI-Backyard-Makeovers, Before/After, Tiny Houses",AI,keine,nein,nein,nein,nein,nein,nein,keine Links/Beschreibung,nein,https://www.youtube.com/channel/UC-xr-4V6Hf-cU760L6V59FQ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Outlier-Score ~2.,quellen/raw_competitors_home.csv
C-H070,Garten/Outdoor Living (DIY),YouTube Shorts,@CraftWorks39,https://www.youtube.com/channel/UCczK2nBennn39HAtZ6tuLGQ,EN/Italien,401000,ESTIMATED,100k-500k,~1.9 Uploads/Woche (43 Shorts seit 2026-04-24; NexLev),"Ø 10,9 Mio./Short",1100000,112 Mio. („Backyard Pond Makeover From Start to Finish“),ESTIMATED (NexLev),DIY-Garten/Teich/Betonpflanzer-Stories,real (laut NexLev),keine,nein,nein,nein,nein,nein,nein,keine Links,nein,https://www.youtube.com/channel/UCczK2nBennn39HAtZ6tuLGQ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Opportunity: Werkzeuge/Material (Pumpen, Beton, Pflanzer) wären affiliate-fähig.",quellen/raw_competitors_home.csv
C-H071,Garten (Personen-Vergleich),Instagram,gardenwithjonny,https://www.instagram.com/gardenwithjonny/,EN/UK,2100000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Garten-Tipps + Comedy-Reels (Person),real (Person),"Linktree (linktr.ee/gardenwithjonny, verlinkt IG)",unklar (Rabattcode),nein (404),nein,UNKNOWN,ja (Buch „Garden Yourself Happy“),"Rabattcode Protein Works („GARDENWITH…“), Uhrenmarke","Linktree: „Order my book here“, „Protein Works | Discount code GARDENWITH…“",nein,https://linktr.ee/gardenwithjonny ; https://insta-stories-viewer.com/gardenwithjonny/ ; https://hypeauditor.com/top-instagram-diy-design-united-states/,2026-09-26,Keine EN-Garten-Theme-Page mit Affiliate gefunden (Datenlücke).,quellen/raw_competitors_home.csv
C-H072,Amazon Finds/virale Produkte (DE),Instagram,shoppaholic,https://www.instagram.com/shoppaholic/,DE,801600,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Produkttests „virale Produkte ohne Fake-Hype“, „ich teste, damit du’s nicht musst“",real (personengeführt: „Rabiosa x Shoppaholic“),UNKNOWN (Linktree-Handle nur WhatsApp),ja,"ja (amazon.de/shop/shoppaholic, Tag rabiaodabas07-21)",nein,nein,ja (Storefront),UNKNOWN,Storefront „Shoppaholic’s Amazon page“ (amazon.de) mit Associate-Tag rabiaodabas07-21,ja,https://www.amazon.de/shop/shoppaholic ; https://insta-stories-viewer.com/shoppaholic/ ; https://hypeauditor.com/top-instagram-shopping-retail-germany/ ; https://www.tiktok.com/@shoppaholic,2026-09-26,"HypeAuditor DE Shopping #17 (799,8k). TikTok 182,4k/13,6 Mio. Likes (VERIFIED), Bio-Link gl-management.net (Talent-Management) → keine anonyme Theme-Page, sondern Creatorin. Größter DE-„Amazon-Finds“-Account im Sample.",quellen/raw_competitors_home.csv
C-H073,"Deals/Schnäppchen (DE, Theme-Page)",Instagram,dealbunny.de,https://www.instagram.com/dealbunny.de/,DE,987500,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Tägliche Deals in Stories („Täglich Storys schauen & Geld sparen“), App",real (Produkt-/Deal-Grafiken),dealbunny.de (Impressum/App),ja,nein (404),nein,nein,ja (Website + App),diverse Händler-Affiliate-Links (u. a. eBay),"dealbunny.de: „Diese Website enthält Affiliate-Links, für die ich möglicherweise eine Vergütung erhalte“; „…kann dies dazu führen, dass diese Website eine Provision erhält“",ja,https://www.dealbunny.de/ ; https://insta-stories-viewer.com/dealbunny.de/,2026-09-26,Achtung: linktr.ee/dealbunny.de ist eine fremde Scam-Seite („Sie gewinnen iPhone 12“) – nicht dem Account zuzuordnen. Stories statt Reels als Conversion-Kanal.,quellen/raw_competitors_home.csv
C-H074,"Deals/Schnäppchen (DE, Plattform)",Instagram,mydealz.de,https://www.instagram.com/mydealz.de/,DE,545800,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"„Shopping Tricks & Hacks“, Top-Deals täglich in Stories",real,App-Download,"ja (Plattform-Ebene, ESTIMATED)",nein,nein,nein,ja (Plattform),Affiliate-Tracking der Deal-Plattform,"Seitenquelltext mydealz.de enthält Affiliate-Steuerungsfelder („disableAffiliateTracking“, „viewMonetisation“); keine explizite Disclosure-Seite abgerufen",nein,https://www.mydealz.de/ ; https://insta-stories-viewer.com/mydealz.de/ ; https://www.threads.com/@mydealz.de,2026-09-26,"Threads-Bio: „Deal-Community seit 2007, 33 Mio. Besuche pro Monat“ (CLAIMED).",quellen/raw_competitors_home.csv
C-H075,"Baby/Parenting (DE, Community-Page)",Instagram,echtemamas,https://www.instagram.com/echtemamas/,DE,526200,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Mütter-Community-Content (Memes, Alltag, Tipps)",real,UNKNOWN („Unsere Kanäle im Überblick“),ja,"ja (amazon.de/shop/echtemamas, Tag echmam-21)",nein,nein,ja (Storefront),UNKNOWN,Storefront „Echte Mamas’s Amazon page“ (amazon.de) mit Associate-Tag echmam-21,ja,https://www.amazon.de/shop/echtemamas ; https://insta-stories-viewer.com/echtemamas/,2026-09-26,"10,7k Posts. Einzige DE-Baby-/Parenting-Page mit belegtem Affiliate im Sample.",quellen/raw_competitors_home.csv
C-H076,Interior-Community (DE),Instagram,solebich,https://www.instagram.com/solebich/,DE,547900,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UGC-Interior („Zeig uns dein Zuhause: #solebich“),real (UGC),solebich.de,unklar,nein (404),nein,nein,Plattform solebich.de,UNKNOWN,kein Nachweis abgerufen,nein,https://insta-stories-viewer.com/solebich/,2026-09-26,"„Größte deutsche Wohncommunity“ – Plattform-Account, keine Finds-Page.",quellen/raw_competitors_home.csv
C-H077,"Interior/DIY (DE, Person)",Instagram,mi.interieur,https://www.instagram.com/mi.interieur/,DE,1300000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,„Mein Traumhaus im Reihenhaus“ – DIY/Home/Garden (Person),real (Person),UNKNOWN,ja,"ja (amazon.de/shop/mi.interieur, Tag michelelederh-21)",nein,nein,ja (Storefront),UNKNOWN,Storefront „Michèle by mi.interieur’s Amazon page“ mit Associate-Tag,ja,https://www.amazon.de/shop/mi.interieur ; https://insta-stories-viewer.com/mi.interieur/ ; https://hypeauditor.com/top-instagram-diy-design-germany/ ; https://orbitvibe.com/rankings/instagram/lifestyle/home-decor,2026-09-26,Person (Vergleich).,quellen/raw_competitors_home.csv
C-H078,"Interior/DIY-Hacks (DE, Person)",Instagram,dekokrams,https://www.instagram.com/dekokrams/,DE,529900,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"DIY/Hacks/Interior (Catharina, Hamburg), Buch „FEELGOOD DIYS“",real (Person),UNKNOWN,ja,"ja (amazon.de/shop/dekokrams, Tag catharinajung-21)",nein,nein,"ja (Storefront, Buch)",UNKNOWN,"Storefront „Dekokrams’s Amazon page“, Tag catharinajung-21 (= Catharina Junge laut HypeAuditor)",ja,https://www.amazon.de/shop/dekokrams ; https://insta-stories-viewer.com/dekokrams/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,"HypeAuditor 648,5k vs. Viewer 529,9k.",quellen/raw_competitors_home.csv
C-H079,"DIY Haus & Garten (DE, Person)",Instagram,villa_karole,https://www.instagram.com/villa_karole/,DE,439900,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DIY/IKEA-Hacks/Makeover drinnen & draußen (Rina),real (Person),UNKNOWN,ja,"ja (amazon.de/shop/villa_karole, Tag katharinalint-21)",nein,nein,ja (Storefront),UNKNOWN,Storefront „Villa_karole’s Amazon page“ mit Associate-Tag,ja,https://www.amazon.de/shop/villa_karole ; https://insta-stories-viewer.com/villa_karole/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,,quellen/raw_competitors_home.csv
C-H080,"DIY/Modernes Wohnen/Garten (DE, Person)",Instagram,cima.villa,https://www.instagram.com/cima.villa/,DE,400100,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"DIYs, Heimwerken, Gartenprojekte (Cindy, Berlin)",real (Person),Linktree (linktr.ee/cima.villa: Instagram + Amazon),ja,"ja (amazon.de/shop/cima.villa, Tag cindykukuc-21)",nein,nein,ja (Storefront),nein,Linktree-Link „Amazon“ (AMAZON_SHOP → amazon.de) + Storefront „cimavilla’s Amazon page“,ja,https://linktr.ee/cima.villa ; https://www.amazon.de/shop/cima.villa ; https://insta-stories-viewer.com/cima.villa/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,,quellen/raw_competitors_home.csv
C-H081,"Interior/Home (DE, Person)",Instagram,homestory_pictures,https://www.instagram.com/homestory_pictures/,DE,764800,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Home-Story/Interior (Carmen Rein),real (Person),UNKNOWN,ja,"ja (amazon.de/shop/homestory_pictures „Carmen’s Amazon page“, Tag carmenrein-21)",nein,nein,ja (Storefront),UNKNOWN,Storefront mit Tag carmenrein-21 (Name deckungsgleich mit HypeAuditor-Eintrag „Carmen Rein“),ja,https://www.amazon.de/shop/homestory_pictures ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,Follower aus HypeAuditor-Liste.,quellen/raw_competitors_home.csv
C-H082,"Garten (DE, Person)",Instagram,landhaus_garten,https://www.instagram.com/landhaus_garten/,DE,487800,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Gartengestaltung, Pflanzenkunde, Dekoideen (Birgit Helbig)",real (Person),UNKNOWN,ja,"ja (amazon.de/shop/landhaus_garten „meine Empfehlungen’s Amazon page“, Tag andre094-21)",nein,nein,ja (Storefront),UNKNOWN,Storefront unter identischem Handle mit Associate-Tag,ja,https://www.amazon.de/shop/landhaus_garten ; https://insta-stories-viewer.com/landhaus_garten/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,"HypeAuditor 546,4k.",quellen/raw_competitors_home.csv
C-H083,"Garten/Pool/Landleben (DE, Paar)",Instagram,stillers.home,https://www.instagram.com/stillers.home/,DE,555500,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Fachwerkhaus von 1779 – Haus, Garten, DIY (Julia & Sebastian)",real (Personen),Linktree (linktr.ee/stillers.home),ja,nein,nein,nein,nein,"Marken-Kooperationslink (Beatbot, bit.ly)","Linktree: „Beatbot Sora 70 Poolroboter“ (AMAZON_PRODUCT, amzn.to) + „Beatbot Official Website“",ja,https://linktr.ee/stillers.home ; https://insta-stories-viewer.com/stillers.home/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,Pool-/Garten-Produkt als Kooperation + Amazon-Link – typisch für DE-Garten-Creator.,quellen/raw_competitors_home.csv
C-H084,"Interior/Home Finds (DE, Person)",Instagram,interiorby_selinda,https://www.instagram.com/interiorby_selinda/,DE,113100,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Interior + „Home Finds“ (Selinda Sert),real (Person),"Linktree (linktr.ee/interiorby_selinda, Zuordnung per Handle/Beschreibung „interior | Home Finds“)",ja,nein (404); 12 amzn.eu + 5 amzn.to + 7 AMAZON_PRODUCT-Links,nein,nein,"ja (Linktree-Gruppen, 52 Links)","Temu (13 app.temu.com-Links), Rabattcodes (z. B. Phomemo „-15 %“)","Linktree mit 52 Links: amzn.eu/amzn.to/amazon.de, Temu, Brand-Rabatte",ja,https://linktr.ee/interiorby_selinda ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,"HypeAuditor: 113,1k Follower bei 67,7k Auth. Engagement (sehr hoch).",quellen/raw_competitors_home.csv
C-H085,"Haustiere (DE, Person)",Instagram,daniel.labbi,https://www.instagram.com/daniel.labbi/,DE,200200,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Hunde- und Katzen-Content („4 Hunde 7 Katzen“),real (Person),Linktree (linktr.ee/daniel.labbi „Daniel und sein Zoo“),ja,nein (404),nein,nein,ja (eigenes Produkt pawlabbi.com),Impact (oneisallinc.pxf.io – Luftreiniger für Haustierhaushalte; xtool.pxf.io),Linktree-Links über Impact-Tracking-Domains *.pxf.io,ja,https://linktr.ee/daniel.labbi ; https://hypeauditor.com/top-instagram-animals-germany/,2026-09-26,Follower aus HypeAuditor DE Animals (#29).,quellen/raw_competitors_home.csv
C-H086,"Haustiere – Katze (DE, Pet-Persona)",Instagram,gnocchi.thekitten,https://www.instagram.com/gnocchi.thekitten/,DE,123800,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tägliche Katzen-Reels & Memes („Deutschlands Nr. 1 Teiggericht“),real,UNKNOWN,unklar,nein (404),nein,nein,UNKNOWN,UNKNOWN,kein Nachweis,nein,https://insta-stories-viewer.com/gnocchi.thekitten/ ; https://hypeauditor.com/top-instagram-animals-germany/,2026-09-26,TikTok 60k+ (CLAIMED in Bio).,quellen/raw_competitors_home.csv
C-H087,"Deko/Beauty/Sale (DE, Promo-Page)",Instagram,inspowelt__,https://www.instagram.com/inspowelt__/,DE,321300,ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Sale/Decor/Beauty-Promos, Bio „Dauerwerbung“, „Kooperation → DM“",UNKNOWN,UNKNOWN,unklar,nein (404 amazon.de),nein,nein,UNKNOWN,bezahlte Kooperationen,kein Affiliate-Nachweis; „Dauerwerbung“ = bezahlte Promos,nein,https://insta-stories-viewer.com/inspowelt__/ ; https://hypeauditor.com/top-instagram-shopping-retail-germany/,2026-09-26,HypeAuditor DE Shopping #23 (349k). Einzige gefundene DE-Theme-Page im Deko-/Produktbereich >100k ohne Person im Vordergrund.,quellen/raw_competitors_home.csv
C-H088,"Interior/DIY (DE, Person, kein Affiliate)",Instagram,haus_plan_b,https://www.instagram.com/haus_plan_b/,DE,1200000,ESTIMATED,1M+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Humor-DIY/Hausbau (Cindy),real (Person),UNKNOWN (Buch-Vorbestellung),unklar,nein (404),nein,nein,ja (Buch),UNKNOWN,kein Nachweis,nein,https://insta-stories-viewer.com/haus_plan_b/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,"HypeAuditor: 120,9k Auth. Engagement – höchstes DE-DIY-Engagement.",quellen/raw_competitors_home.csv
C-H089,"DIY/Interior (DE, Person, Eigenprodukte)",Instagram,homeheartmade,https://www.instagram.com/homeheartmade/,DE,703600,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"DIYs mit Herz (Juliane), IKEA-Hacks, Hausumbau",real (Person),Linktree (linktr.ee/homeheartmade),nein,nein (404),nein,nein,"ja (Buch, DIY-Kurs via myablefy, eigene Produktlinie)",nein,"Linktree: „Mein Buch“, „DIY KURS“ (myablefy.com), eigene Produkte → Eigenprodukt-Modell",nein,https://linktr.ee/homeheartmade ; https://insta-stories-viewer.com/homeheartmade/ ; https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,,quellen/raw_competitors_home.csv
C-H090,"Garten (DE, Magazin, Kontext)",Instagram,mein_schoener_garten,https://www.instagram.com/mein_schoener_garten/,DE,910300,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Garten-Magazin-Content,real,UNKNOWN,unklar,nein (404),nein,nein,Magazin,UNKNOWN,nicht geprüft,nein,https://hypeauditor.com/top-instagram-diy-design-germany/,2026-09-26,Verlags-Account; größter DE-Garten-Account im Sample.,quellen/raw_competitors_home.csv
C-H091,"Küche/Rezepte (DE, Plattform, Kontext)",Instagram,chefkoch,https://www.instagram.com/chefkoch/,DE,785000,ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Rezept-Reels, Reposts #chefkochgo",real,chefkoch.de,unklar,nein (404),nein,nein,Plattform,UNKNOWN,nicht geprüft,nein,https://insta-stories-viewer.com/chefkoch/,2026-09-26,"DE-Küchennische ist rezept-, nicht gadgetgetrieben; kein DE-Küchengadget-Theme-Account gefunden.",quellen/raw_competitors_home.csv
C-H092,DIY/Maler-Hacks & Tools (DE),YouTube Shorts,@Malerart,https://www.youtube.com/channel/UCwbavnCSKqngeIqr78TNguA,DE,461000,ESTIMATED,100k-500k,~5.5 Uploads/Woche (456 Shorts seit 2025-02-25; NexLev),"Ø 2,7 Mio./Short",10500000,194 Mio. („11 Jahre Erfahrung in 60 Sekunden“),ESTIMATED (NexLev),"Maler-Lifehacks, Wall-Art, „Bleib bis zum Ende“-Hooks",real (Hände; laut NexLev faceless),Linktree (linktr.ee/Malerart),ja,nein; Amazon.de-Produktlinks,nein,nein,ja (Linktree-Produktliste),nein,"Linktree mit 7 AMAZON_PRODUCT-Links (amzn.to/amazon.de), Associate-Tags malerart2107-21 und malerart0c-21",ja,https://www.youtube.com/channel/UCwbavnCSKqngeIqr78TNguA ; https://linktr.ee/Malerart ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"IG @malerart_ 89k (Viewer), TikTok @malerart 508,4k/25,7 Mio. Likes (VERIFIED). NexLev-AdSense-Schätzung ~124k USD. Stärkster DE-Beleg für Content→Link-in-Bio→Amazon.de.",quellen/raw_competitors_home.csv
C-H093,Haushalt/Küchen-Lifehacks (DE),YouTube Shorts,@HerrZoggDE,https://www.youtube.com/channel/UCvDH8wB5bjZPeXb9Gmmj0RA,DE,60200,ESTIMATED,10k-100k,~6.7 Uploads/Woche (207 Shorts seit 2026-02-22; NexLev),Ø 358k/Short,775000,"4,3 Mio.",ESTIMATED (NexLev),„Superpraktische Lifehacks“ (Küche/Haushalt),real (faceless),keine,nein,nein,nein,nein,nein,nein,keine Links,nein,https://www.youtube.com/channel/UCvDH8wB5bjZPeXb9Gmmj0RA ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,"Outlier-Score 3,7. Median 775k bei nur 60k Abos – DE-Haushalts-Hacks funktionieren, bleiben aber unmonetarisiert.",quellen/raw_competitors_home.csv
C-H094,Home-Gadgets (DE),YouTube Shorts,@Mugsvonalfred,https://www.youtube.com/channel/UCb2uaLV5mqMK0fA6mhnGHOQ,DE,6620,ESTIMATED,<10k,~0.7 Uploads/Woche (38 Shorts seit 2025-09-05; NexLev),"Median 3,8k",3800,19 Mio. („Warte auf Ergebnisse…😳“),ESTIMATED (NexLev),Home-Gadget-/Geschenk-Clips,real,keine,nein,nein,nein,nein,nein,nein,keine Links,nein,https://www.youtube.com/channel/UCb2uaLV5mqMK0fA6mhnGHOQ ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,Einziger DE-„Home gadgets“-Treffer in NexLev – zeigt dünnes DE-Angebot.,quellen/raw_competitors_home.csv
C-H095,Haustiere – Katzen-Memes (DE),YouTube Shorts,@Katze.schatz,https://www.youtube.com/channel/UCpuZB2RULGUcapuJCVXsx5A,DE,24300,ESTIMATED,10k-100k,~6.0 Uploads/Woche (113 Shorts seit 2026-05-18; NexLev),Ø 254k/Short,43000,25 Mio. („Wer kennts 😂 #katzenvideos“),ESTIMATED (NexLev),„Wer kennts?“-Katzen-Memes,real,nur TikTok,nein,nein,nein,nein,nein,nein,keine,nein,https://www.youtube.com/channel/UCpuZB2RULGUcapuJCVXsx5A ; NexLev search_shorts_niche_finder_channels (Abfrage 2026-09-26),2026-09-26,,quellen/raw_competitors_home.csv
C-T001,Desk Setups / Home Office,Instagram,thedreamsetup,https://www.instagram.com/thedreamsetup/,EN/international,374K (Suchsnippet 09/2026); 408K/3.844 Posts (geekyminded 06/2023),ESTIMATED,100k-500k,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Kuratierte Desk-Setup-Fotos/Reels (Repost von Community-Setups, Credit im Caption)",real (kuratierte UGC),"Linktree (linktr.ee/thedreamsetup, Titel 'All Product Links')",ja,"ja (amazon.com/shop/thedreamsetup - Seite abrufbar, 'The Dream Setup's Amazon Page')",nein (nicht gefunden),nein (nicht gefunden),ja: kit.co/joekerny + kit.co/joekerny/my-desk-setup (seit Kit-Schliessung tot),"ShareASale (Ergonofis Desks); Refersion-Referral (Grovemade ?rfsn=, Code THEDREAMSETUP 10%)","Linktree-Bio: 'Links to regularly featured products and discount codes for our favourite brands'; Links shareasale.com/r.cfm?...m=85489 (Ergonofis), grovemade.com/?rfsn=4800621; Amazon-Storefront existiert",ja,https://www.instagram.com/thedreamsetup/ ; https://linktr.ee/thedreamsetup ; https://www.amazon.com/shop/thedreamsetup ; https://geekyminded.com/best-instagram-accounts-to-find-desk-setup-inspiration-and-new-ideas/,2026-09-26,"Premium-Desk-Marken (Ergonofis, Grovemade) = hoher AOV. kit.co wurde am 2026-05-11 eingestellt (kit.co: 'Service discontinued') - verlinkte kit.co-Listen sind tot (HTTP 410). TikTok @thedreamsetup existiert, 0 Follower (inaktiv).",quellen/raw_competitors_tech.csv
C-T002,Desk Setups / Home Office,Instagram,isetups,https://www.instagram.com/isetups/,EN/international,651K / 4.940 Posts (Suchsnippet 09/2026); 650K (geekyminded 2023),ESTIMATED,500k-1M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Kuratierte Minimal-Setup-Fotos/Reels ('Rate this setup 1-10', Reddit-/Community-Credits)",real (kuratierte UGC),Linktree (linktr.ee/isetups),ja,nein (nicht unter Handle gefunden),nein (nicht gefunden),nein (nicht gefunden),"ja: kit.co/isetups/my-desk, 'The Best Keyboards for Mac Users', 'Essential MacBook Accessories', 'Minimal Desktop Speakers' (tot seit Kit-Schliessung)","Refersion (Grovemade ?rfsn=4247681, LaMetric ?rfsn=4750746); Anker-Tracking-Link (s.krpax.com)",Linktree-Eintrag: 'NOTE: We may earn small commissions for purchases made through links'; rfsn-Referral-Parameter in Links,ja,https://www.instagram.com/isetups/ ; https://linktr.ee/isetups ; https://www.tiktok.com/@isetups ; https://geekyminded.com/best-instagram-accounts-to-find-desk-setup-inspiration-and-new-ideas/,2026-09-26,TikTok-Bio von @isetups: 'By @sebastiaanchia' (Betreiber). TikTok nur 379 Follower (Cross-Posting nicht genutzt). kit.co wurde am 2026-05-11 eingestellt (kit.co: 'Service discontinued') - verlinkte kit.co-Listen sind tot (HTTP 410).,quellen/raw_competitors_tech.csv
